gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,day,month,year,speciesKey
3038640804,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.452999,-4.388986,14/8/2012 0:00,14,8,2012,5212973
3038640795,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.954304,-0.513338,23/9/2016 0:00,23,9,2016,5212973
3038640776,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.444776,-4.06951,1/8/2019 0:00,1,8,2019,5212973
3038640709,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,53.160639,-0.371943,22/10/2015 0:00,22,10,2015,5212973
3038640697,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,52.747233,1.286509,6/4/2018 0:00,6,4,2018,5212973
3038640693,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,52.094785,0.886248,12/4/2012 0:00,12,4,2012,5212973
3038640657,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,53.166988,-0.777942,7/6/2018 0:00,7,6,2018,5212973
3038640637,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.851709,0.191051,2/10/2015 0:00,2,10,2015,5212973
3038640601,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.400735,-0.313586,20/5/2013 0:00,20,5,2013,5212973
3038640542,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.565082,-1.287362,4/6/2019 0:00,4,6,2019,5212973
3038640534,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.882881,0.937797,5/2/2015 0:00,5,2,2015,5212973
3038640520,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,52.632183,0.990546,2/2/2012 0:00,2,2,2012,5212973
3038640417,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,52.96149,-0.61914,16/8/2012 0:00,16,8,2012,5212973
3038640416,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.614694,-2.549349,22/7/2016 0:00,22,7,2016,5212973
